1993-94,West Ham,3,Coventry,2
1993-94,Arsenal,1,Sheffield Weds,0
1993-94,Norwich,2,Leeds,1
1993-94,Blackburn,2,Man City,0
1993-94,Coventry,1,Oldham,1
1993-94,Everton,0,Newcastle,2
1993-94,Ipswich,2,Norwich,1
1993-94,Leeds,2,Arsenal,1
1993-94,Sheffield Weds,5,West Ham,0
1993-94,Swindon,2,Southampton,1
1993-94,Tottenham,3,Liverpool,3
1993-94,Wimbledon,2,Sheffield United,0
1993-94,Man United,3,Aston Villa,1
1993-94,Newcastle,1,Leeds,1
1993-94,Man United,1,Blackburn,1
1993-94,Sheffield United,0,Liverpool,0
1993-94,Wimbledon,1,Coventry,2
1993-94,Everton,0,Sheffield Weds,2
1993-94,Ipswich,1,West Ham,1
1993-94,QPR,2,Oldham,0
1993-94,Southampton,3,Chelsea,1
1993-94,Swindon,0,Arsenal,4
1993-94,Tottenham,1,Norwich,3
1993-94,Chelsea,1,Newcastle,0
1993-94,Liverpool,1,Wimbledon,1
1993-94,Man City,1,Southampton,1
1993-94,West Ham,1,Tottenham,3
1993-94,Arsenal,3,Sheffield United,0
1993-94,Blackburn,2,Everton,0
1993-94,Leeds,1,QPR,1
1993-94,Norwich,1,Aston Villa,2
1993-94,Oldham,2,Man United,5
1993-94,Sheffield Weds,3,Swindon,3
1993-94,Aston Villa,0,Blackburn,1
1993-94,Everton,0,West Ham,1
1993-94,Ipswich,1,Liverpool,2
1993-94,Man United,0,Leeds,0
1993-94,Newcastle,2,Man City,0
1993-94,QPR,1,Sheffield Weds,2
1993-94,Sheffield United,2,Oldham,1
1993-94,Southampton,0,Norwich,1
1993-94,Swindon,1,Chelsea,3
1993-94,Tottenham,1,Coventry,2
1993-94,Wimbledon,0,Arsenal,3
1993-94,Arsenal,0,QPR,0
1993-94,Chelsea,4,Everton,2
1993-94,Coventry,1,Swindon,1
1993-94,Sheffield Weds,1,Tottenham,0
1993-94,West Ham,0,Sheffield United,0
1993-94,Liverpool,3,Man United,3
1993-94,Norwich,1,Newcastle,2
1993-94,Aston Villa,3,West Ham,1
1993-94,Everton,6,Swindon,2
1993-94,Leeds,0,Ipswich,0
1993-94,Man City,0,Arsenal,0
1993-94,Norwich,1,Chelsea,1
1993-94,Oldham,0,Liverpool,3
1993-94,Sheffield United,1,Blackburn,2
1993-94,Southampton,1,Coventry,0
1993-94,Tottenham,0,Man United,1
1993-94,Wimbledon,2,Sheffield Weds,1
1993-94,QPR,1,Newcastle,2
1993-94,Arsenal,1,Oldham,1
1993-94,Chelsea,1,Aston Villa,1
1993-94,Coventry,0,QPR,1
1993-94,Ipswich,0,Wimbledon,0
1993-94,Liverpool,2,Man City,1
1993-94,Man United,1,Everton,0
1993-94,Newcastle,1,Southampton,2
1993-94,Sheffield Weds,3,Sheffield United,1
1993-94,Swindon,2,Tottenham,1
1993-94,Blackburn,2,Leeds,1
1993-94,West Ham,3,Norwich,3
1993-94,Coventry,1,Ipswich,0
1993-94,Blackburn,3,Wimbledon,0
1993-94,Everton,4,Chelsea,2
1993-94,Man City,2,Ipswich,1
1993-94,Norwich,2,Liverpool,2
1993-94,Oldham,2,Southampton,1
1993-94,QPR,2,Man United,3
1993-94,Swindon,3,Coventry,1
1993-94,Tottenham,1,Sheffield Weds,3
1993-94,Aston Villa,1,Leeds,0
1993-94,Aston Villa,5,Swindon,0
1993-94,Everton,0,Ipswich,0
1993-94,Man City,0,West Ham,0
1993-94,Oldham,2,Chelsea,1
1993-94,Sheffield United,0,Coventry,0
1993-94,Tottenham,0,Blackburn,2
1993-94,Wimbledon,4,Newcastle,2
1993-94,Norwich,1,Arsenal,1
1993-94,Southampton,4,Liverpool,2
1993-94,Blackburn,1,Newcastle,0
1993-94,Coventry,4,Man City,0
1993-94,Everton,1,Arsenal,1
1993-94,Leeds,2,Liverpool,0
1993-94,Swindon,3,Norwich,3
1993-94,Aston Villa,0,Man City,0
1993-94,Norwich,2,Blackburn,2
1993-94,Newcastle,4,Coventry,0
1993-94,Arsenal,1,Blackburn,0
1993-94,Ipswich,3,Sheffield United,2
1993-94,Liverpool,1,Coventry,0
1993-94,Man City,2,Swindon,1
1993-94,Norwich,1,Sheffield Weds,1
1993-94,Southampton,1,Wimbledon,0
1993-94,West Ham,2,Man United,2
1993-94,Chelsea,4,Tottenham,3
1993-94,Oldham,1,Leeds,1
1993-94,Tottenham,1,Aston Villa,1
1993-94,Blackburn,2,Liverpool,0
1993-94,Everton,2,Oldham,1
1993-94,Ipswich,1,Arsenal,5
1993-94,Leeds,0,Southampton,0
1993-94,Man United,0,Chelsea,1
1993-94,QPR,1,Man City,1
1993-94,Sheffield Weds,0,Newcastle,1
1993-94,Swindon,1,West Ham,1
1993-94,Tottenham,2,Sheffield United,2
1993-94,Wimbledon,3,Norwich,1
1993-94,Coventry,0,Aston Villa,1
1993-94,Aston Villa,0,Ipswich,1
1993-94,Man City,0,Wimbledon,1
1993-94,Newcastle,7,Swindon,1
1993-94,Norwich,3,QPR,4
1993-94,Southampton,1,Sheffield Weds,1
1993-94,Liverpool,2,Everton,1
1993-94,Sheffield United,2,Leeds,2
1993-94,Chelsea,2,Wimbledon,0
1993-94,Leeds,2,Aston Villa,0
1993-94,Man United,5,Sheffield Weds,0
1993-94,Sheffield United,1,QPR,1
1993-94,Aston Villa,1,Oldham,2
1993-94,Leeds,1,Coventry,0
1993-94,Liverpool,2,Chelsea,1
1993-94,Man City,0,Sheffield United,0
1993-94,QPR,1,Wimbledon,0
1993-94,Southampton,0,Arsenal,4
1993-94,Swindon,2,Man United,2
1993-94,Tottenham,1,Ipswich,1
1993-94,West Ham,2,Newcastle,4
1993-94,Sheffield Weds,1,Blackburn,2
1993-94,Norwich,3,Everton,0
1993-94,Arsenal,2,Man United,2
1993-94,Newcastle,2,Ipswich,0
